"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
212,769.813626304829,"RBF","GM",0.0744947491010612,NA,1.19173904451843,NA,0.146484436654979,NA
227,814.07242722849,"RBF","GM",0.0212847885941797,NA,1.14196883345994,NA,0.259425115313677,NA
234,598.225520894189,"RBF","GM",0.28078583972728,NA,1.1667956902338,NA,0.0966543616330761,NA
239,835.149545491062,"RBF","GM",-0.00405508973385582,NA,13.0737072305621,NA,0.795235257591823,NA
250,721.56534293698,"RBF","GM",0.132501048389562,NA,1.29448208974819,NA,0.130780178435749,NA
256,648.017401223073,"RBF","GM",0.220923757371433,NA,1.28043102025279,NA,0.11190767509706,NA
271,728.358036348863,"RBF","GM",0.124334560806559,NA,1.22713831964151,NA,0.130012274664534,NA
274,822.740321881328,"RBF","GM",0.0108638480686816,NA,1.84685236628811,NA,0.352202572151762,NA
275,834.089732509359,"RBF","GM",-0.00278093395637868,NA,9.10189248129548,NA,5.25825286031414,NA
279,823.030961565762,"RBF","GM",0.0105144277091667,NA,2.08943591957742,NA,0.535627029617926,NA
285,752.650639566509,"RBF","GM",0.0951288789795756,NA,1.20937627445549,NA,0.133989148551783,NA
317,782.01829816037,"RBF","GM",0.0598217327996725,NA,1.28136098073831,NA,0.1884017665672,NA
333,784.660108090714,"RBF","GM",0.0566456277284403,NA,1.41576865270587,NA,0.214094990443522,NA
334,669.543192120795,"RBF","GM",0.195044464221969,NA,1.30558814874193,NA,0.104712660524936,NA
353,383.336192551632,"RBF","GM",0.539135646677087,NA,1.18175141746244,NA,0.0586749459269481,NA
367,700.141573449867,"RBF","GM",0.158257686719734,NA,1.03740410619385,NA,0.120343577222693,NA
380,773.597130469916,"RBF","GM",0.0699460468542663,NA,1.29732306444791,NA,0.184768225118276,NA
393,577.503522604293,"RBF","GM",0.305698776535732,NA,1.26686196645062,NA,0.0863095020915113,NA
406,815.83275681314,"RBF","GM",0.0191684396257593,NA,1.23341738334748,NA,0.286651635698952,NA
418,733.762230742523,"RBF","GM",0.117837390430115,NA,1.40006598172117,NA,0.133638505842985,NA
422,637.290295511772,"RBF","GM",0.233820375882087,NA,1.22768186928114,NA,0.107653062565962,NA
427,672.701983619441,"RBF","GM",0.19124682019672,NA,1.16962575302238,NA,0.10788723947819,NA
445,795.138682200927,"RBF","GM",0.0440478053081146,NA,1.45735227701354,NA,0.220331275980577,NA
476,343.209312744523,"RBF","GM",0.587378022097139,NA,0.891594068776441,NA,0.0587190716505024,NA
481,820.263166141119,"RBF","GM",0.0138419983202733,NA,1.17144912929033,NA,0.287002684681692,NA
488,771.830642985792,"RBF","GM",0.0720697991318818,NA,1.12122394581326,NA,0.155590163244418,NA
495,497.658675670561,"RBF","GM",0.401691913795594,NA,1.1041289147687,NA,0.0771616939275938,NA
512,781.754031203712,"RBF","GM",0.060139446656207,NA,1.39329862955166,NA,0.190524456437706,NA
535,562.610127314468,"RBF","GM",0.32360429947459,NA,0.948163079157474,NA,0.085999322422066,NA
541,644.113158028426,"RBF","GM",0.22561761761755,NA,1.10712108572197,NA,0.0949353216836029,NA
553,688.67939595728,"RBF","GM",0.172038042241688,NA,1.48655895913741,NA,0.112092899609765,NA
556,802.832377007835,"RBF","GM",0.0347980925214149,NA,1.35903581799485,NA,0.247221491298836,NA
589,324.048756966178,"RBF","GM",0.610413721098885,NA,0.815116543231706,NA,0.0413585933884317,NA
595,576.319442984213,"RBF","GM",0.307122331365655,NA,1.28245594148532,NA,0.0830771096392471,NA
607,833.132729924861,"RBF","GM",-0.00163038155406747,NA,2.19873260722275,NA,0.698993900143448,NA
633,773.016098002366,"RBF","GM",0.0706445907372085,NA,1.16227119506719,NA,0.164559460407181,NA
656,831.561330424887,"RBF","GM",0.000258827000822248,NA,2.63111618785376,NA,1.20897956548675,NA
659,693.979701946174,"RBF","GM",0.165665771270544,NA,1.32952275540457,NA,0.112834056877555,NA
661,826.881584208741,"RBF","GM",0.00588503254969963,NA,1.21432638534363,NA,0.380804313684887,NA
717,704.964555330443,"RBF","GM",0.15245927668523,NA,1.230655631508,NA,0.110347286228326,NA
730,679.876228064675,"RBF","GM",0.182621614460666,NA,1.22048873168519,NA,0.111381409243187,NA
738,812.364553971602,"RBF","GM",0.023338072159329,NA,1.28492488738379,NA,0.265133550346631,NA
739,731.686060213867,"RBF","GM",0.120333457868225,NA,1.3232728877989,NA,0.137005893562488,NA
753,794.710413798592,"RBF","GM",0.0445626892249632,NA,1.07816066645733,NA,0.180342239192263,NA
773,607.715740403013,"RBF","GM",0.269376262542007,NA,1.1562982176648,NA,0.0921681955790886,NA
775,793.556094207089,"RBF","GM",0.0459504651835145,NA,1.26641273530067,NA,0.199620562441844,NA
