"id","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","epsilon","roundnLL"
353,9,355.193398607513,0.572970204393704,"BMT","GM",10.7406945976331,NA,NA,0.00673794700165532,NA,47.7428522512843
367,2,670.118902905785,0.194352318309893,"BMT","GM",3.31891684964717,NA,NA,0.0596149396037433,NA,99.7228169664604
367,3,670.118902905785,0.194352318309893,"BMT","GM",4.21940843832483,NA,NA,0.0491730723256569,NA,85.1654634308962
367,4,670.118902905785,0.194352318309893,"BMT","GM",3.64080085674542,NA,NA,0.0597583117743806,NA,84.7125508817677
367,5,670.118902905785,0.194352318309893,"BMT","GM",4.60854321678715,NA,NA,0.0441220990937078,NA,76.4001933422581
367,6,670.118902905785,0.194352318309893,"BMT","GM",3.548986943929,NA,NA,0.0588729984912049,NA,95.015124816464
367,7,670.118902905785,0.194352318309893,"BMT","GM",3.55914903130723,NA,NA,0.0608619859590178,NA,76.134999551347
367,8,670.118902905785,0.194352318309893,"BMT","GM",3.50239766518353,NA,NA,0.0606664942090772,NA,80.1304850912263
367,9,670.118902905785,0.194352318309893,"BMT","GM",3.48006092517848,NA,NA,0.0620505920921968,NA,72.8372688253653
380,2,833.761357508364,-0.00238614646847246,"BMT","GM",13.0993163078118,NA,NA,0.207270886924538,NA,103.656148494832
380,3,833.761357508364,-0.00238614646847246,"BMT","GM",15.0128794381818,NA,NA,0.0200651501993272,NA,103.934468715203
380,4,833.761357508364,-0.00238614646847246,"BMT","GM",15.6292295595972,NA,NA,0.032613114622486,NA,103.151702197427
380,5,833.761357508364,-0.00238614646847246,"BMT","GM",12.7255841989377,NA,NA,0.0218997455004987,NA,105.386836592926
380,6,833.761357508364,-0.00238614646847246,"BMT","GM",12.5036577647633,NA,NA,0.0222653627444814,NA,105.512488372894
380,7,833.761357508364,-0.00238614646847246,"BMT","GM",15.2287451910647,NA,NA,0.0266128025114738,NA,103.292199334814
380,8,833.761357508364,-0.00238614646847246,"BMT","GM",14.8901608924172,NA,NA,0.0194028572369621,NA,104.216205278024
380,9,833.761357508364,-0.00238614646847246,"BMT","GM",14.196319758301,NA,NA,0.0200100394560153,NA,104.611308522244
393,2,608.493048017933,0.268441747674265,"BMT","GM",7.44733085125218,NA,NA,0.0187802521347073,NA,58.2010198581909
393,3,608.493048017933,0.268441747674265,"BMT","GM",7.5440025721628,NA,NA,0.0183096121171591,NA,100.080471041881
393,4,608.493048017933,0.268441747674265,"BMT","GM",8.20670481916003,NA,NA,0.0145315013663068,NA,98.0285079471993
393,5,608.493048017933,0.268441747674265,"BMT","GM",8.00210836882855,NA,NA,0.0145544084580836,NA,102.837878691442
393,6,608.493048017933,0.268441747674265,"BMT","GM",6.86185057845776,NA,NA,0.0211675305478925,NA,59.6720559943568
393,7,608.493048017933,0.268441747674265,"BMT","GM",7.07708676261665,NA,NA,0.0204930142937486,NA,71.7546250694232
393,8,608.493048017933,0.268441747674265,"BMT","GM",6.85830994147039,NA,NA,0.0217724119550102,NA,51.4146074102773
