"lambda","beta","tau","mu","replication"
0.544306515892354,0.226811476703398,0.00673794699908547,39.323005825672,6
0.544306515892354,0.226811476703398,0.00673794699908547,39.0075490830713,7
0.544306515892354,0.226811476703398,0.00673794699908547,37.2862681938808,8
0.544306515892354,0.226811476703398,0.00673794699908547,28.4191189824315,9
0.544306515892354,0.226811476703398,0.00673794699908547,49.0876084648192,10
0.88819867225378,0.226811476703398,0.00673794699908547,45.7423971265587,1
0.88819867225378,0.226811476703398,0.00673794699908547,48.4241359347237,2
0.88819867225378,0.226811476703398,0.00673794699908547,47.5878949447611,3
0.88819867225378,0.226811476703398,0.00673794699908547,43.45974353592,4
0.88819867225378,0.226811476703398,0.00673794699908547,49.6863682161014,5
0.88819867225378,0.226811476703398,0.00673794699908547,37.6597051887495,6
0.88819867225378,0.226811476703398,0.00673794699908547,34.4626621692856,7
0.88819867225378,0.226811476703398,0.00673794699908547,46.6130488390131,8
0.88819867225378,0.226811476703398,0.00673794699908547,26.8020719076841,9
0.88819867225378,0.226811476703398,0.00673794699908547,40.2384100458197,10
1.44936145050558,0.226811476703398,0.00673794699908547,40.0456061158254,1
1.44936145050558,0.226811476703398,0.00673794699908547,39.4475348598484,2
1.44936145050558,0.226811476703398,0.00673794699908547,45.7383695987366,3
1.44936145050558,0.226811476703398,0.00673794699908547,37.9882771057881,4
1.44936145050558,0.226811476703398,0.00673794699908547,44.985017455069,5
1.44936145050558,0.226811476703398,0.00673794699908547,38.336155822427,6
1.44936145050558,0.226811476703398,0.00673794699908547,46.4164304194085,7
1.44936145050558,0.226811476703398,0.00673794699908547,42.9022676102979,8
1.44936145050558,0.226811476703398,0.00673794699908547,43.0105884050732,9
1.44936145050558,0.226811476703398,0.00673794699908547,39.2234242892678,10
0.204413870080183,0.405524740493985,0.00673794699908547,24.0109772442729,1
0.204413870080183,0.405524740493985,0.00673794699908547,30.1866678436249,2
0.204413870080183,0.405524740493985,0.00673794699908547,28.8116896481511,3
0.204413870080183,0.405524740493985,0.00673794699908547,50,4
0.204413870080183,0.405524740493985,0.00673794699908547,18.9350208123988,5
0.204413870080183,0.405524740493985,0.00673794699908547,19.4120874022469,6
0.204413870080183,0.405524740493985,0.00673794699908547,22.3949852785805,7
0.204413870080183,0.405524740493985,0.00673794699908547,22.6780976816991,8
0.204413870080183,0.405524740493985,0.00673794699908547,38.8480079414821,9
0.204413870080183,0.405524740493985,0.00673794699908547,45.021737286411,10
0.333562290169942,0.405524740493985,0.00673794699908547,19.2622233549845,1
0.333562290169942,0.405524740493985,0.00673794699908547,31.3747124811976,2
0.333562290169942,0.405524740493985,0.00673794699908547,40.7348715157872,3
0.333562290169942,0.405524740493985,0.00673794699908547,37.0130388337643,4
0.333562290169942,0.405524740493985,0.00673794699908547,33.606318748458,5
0.333562290169942,0.405524740493985,0.00673794699908547,43.9607605403773,6
0.333562290169942,0.405524740493985,0.00673794699908547,45.4529941414487,7
0.333562290169942,0.405524740493985,0.00673794699908547,36.3743461054476,8
0.333562290169942,0.405524740493985,0.00673794699908547,19.2767348545802,9
0.333562290169942,0.405524740493985,0.00673794699908547,22.0334455661102,10
0.544306515892354,0.405524740493985,0.00673794699908547,47.7366629666821,1
0.544306515892354,0.405524740493985,0.00673794699908547,34.5058453782528,2
0.544306515892354,0.405524740493985,0.00673794699908547,44.842827456278,3
0.544306515892354,0.405524740493985,0.00673794699908547,44.4050241507688,4
0.544306515892354,0.405524740493985,0.00673794699908547,44.8468552058349,5
0.544306515892354,0.405524740493985,0.00673794699908547,24.7954290849268,6
0.544306515892354,0.405524740493985,0.00673794699908547,47.243151180321,7
0.544306515892354,0.405524740493985,0.00673794699908547,38.7220324094708,8
0.544306515892354,0.405524740493985,0.00673794699908547,49.1806466861968,9
0.544306515892354,0.405524740493985,0.00673794699908547,44.5937541154043,10
0.88819867225378,0.405524740493985,0.00673794699908547,46.7714834813555,1
0.88819867225378,0.405524740493985,0.00673794699908547,44.5004892574062,2
0.88819867225378,0.405524740493985,0.00673794699908547,47.2078817995842,3
0.88819867225378,0.405524740493985,0.00673794699908547,33.417924741804,4
0.88819867225378,0.405524740493985,0.00673794699908547,45.5875458751606,5
0.88819867225378,0.405524740493985,0.00673794699908547,44.6462023184366,6
0.88819867225378,0.405524740493985,0.00673794699908547,34.9454330393734,7
0.88819867225378,0.405524740493985,0.00673794699908547,42.7844298835543,8
0.88819867225378,0.405524740493985,0.00673794699908547,41.780383441431,9
0.88819867225378,0.405524740493985,0.00673794699908547,44.4879016773529,10
1.44936145050558,0.405524740493985,0.00673794699908547,39.496071839508,1
1.44936145050558,0.405524740493985,0.00673794699908547,45.4831401961548,2
1.44936145050558,0.405524740493985,0.00673794699908547,32.5598931847268,3
1.44936145050558,0.405524740493985,0.00673794699908547,39.6471939332344,4
1.44936145050558,0.405524740493985,0.00673794699908547,46.1343335927996,5
1.44936145050558,0.405524740493985,0.00673794699908547,32.8126424533948,6
1.44936145050558,0.405524740493985,0.00673794699908547,38.9139515695533,7
1.44936145050558,0.405524740493985,0.00673794699908547,46.1554741822739,8
